"","year","species","site","date","julian","light_category","hours","type","yreffort","siteyreffort","siteeffort","effort"
"59",2013,"WIWA","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"60",2013,"WIWA","sheep",2013-08-29,241,"day",4,"Band",266.5,79.1,432.474,1993.66254
"61",2013,"RBNU","flood",2013-08-30,242,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"62",2013,"YEWA","flood",2013-08-30,242,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"63",2013,"SWTH","flood",2013-08-30,242,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"64",2013,"CHSP","ridge",2013-08-30,242,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"65",2013,"WIWA","ridge",2013-08-30,242,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"66",2013,"WIWA","ridge",2013-08-30,242,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"67",2013,"RBNU","ridge",2013-08-30,242,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"68",2013,"WIWA","ridge",2013-08-30,242,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"69",2013,"SWTH","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"70",2013,"VESP","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"71",2013,"VESP","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"72",2013,"YRWA","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"73",2013,"SWTH","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"74",2013,"SWTH","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"75",2013,"WIWA","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"76",2013,"WIWA","sheep",2013-08-30,242,"day",4,"Band",266.5,79.1,432.474,1993.66254
"77",2013,"WIWA","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"78",2013,"YRWA","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"79",2013,"YRWA","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"80",2013,"YRWA","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"81",2013,"CCBRSP","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"82",2013,"CHSP","flood",2013-09-04,247,"day",5,"Band",266.5,92.2,1150.97994,1993.66254
"83",2013,"YRWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"84",2013,"RBNU","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"85",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"86",2013,"YRWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"87",2013,"YRWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"88",2013,"YRWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"89",2013,"CHSP","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"90",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"91",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"92",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"93",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"94",2013,"WIWA","ridge",2013-09-04,247,"day",4.783,"Band",266.5,95.2,410.2086,1993.66254
"95",2013,"YRWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"96",2013,"YRWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"97",2013,"WIWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"98",2013,"WIWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"99",2013,"YRWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"100",2013,"YRWA","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"101",2013,"PISI","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"102",2013,"PISI","sheep",2013-09-04,247,"day",4,"Band",266.5,79.1,432.474,1993.66254
"103",2013,"VESP","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"104",2013,"YRWA","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"105",2013,"YRWA","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"106",2013,"YRWA","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"107",2013,"YRWA","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"108",2013,"CHSP","flood",2013-09-05,248,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"109",2013,"VESP","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"110",2013,"WIWA","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"111",2013,"WIWA","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"112",2013,"GCKI","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"113",2013,"WIWA","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"114",2013,"WIWA","sheep",2013-09-05,248,"day",4,"Band",266.5,79.1,432.474,1993.66254
"115",2013,"WIWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"116",2013,"YEWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"117",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"118",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"119",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"120",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"121",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"122",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"123",2013,"YRWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"124",2013,"CHSP","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"125",2013,"CHSP","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"126",2013,"WIWA","flood",2013-09-06,249,"day",4.5,"Band",266.5,92.2,1150.97994,1993.66254
"127",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"128",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"129",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"130",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"131",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"132",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"133",2013,"WIWA","ridge",2013-09-06,249,"day",5,"Band",266.5,95.2,410.2086,1993.66254
"134",2013,"WIWA","sheep",2013-09-06,249,"day",4,"Band",266.5,79.1,432.474,1993.66254
"135",2013,"WIWA","sheep",2013-09-06,249,"day",4,"Band",266.5,79.1,432.474,1993.66254
"136",2013,"WIWA","sheep",2013-09-06,249,"day",4,"Band",266.5,79.1,432.474,1993.66254
"137",2013,"CHSP","sheep",2013-09-06,249,"day",4,"Band",266.5,79.1,432.474,1993.66254
"138",2013,"WIWA","sheep",2013-09-06,249,"day",4,"Band",266.5,79.1,432.474,1993.66254
"139",2013,"AMRO","sheep",2013-09-11,254,"day",4,"Band",266.5,79.1,432.474,1993.66254
